1;-4;0;0;0
1;4;0;0;0
17;0;-4;90;0
17;0;4;90;0
33;-2;0;0;0
33;2;0;0;0
49;0;-2;90;0
49;0;2;90;0
49;0;8;0;1
49;-1;8;0;1
49;1;8;0;1
49;2;8;0;1
49;0;8;0;1
65;-1;8;0;1
65;1;8;0;1
65;0;8;0;1
65;-2;8;0;1
81;-1;8;0;1
81;1;8;0;1
81;2;8;0;1
81;0;8;0;1
49;-4;0;0;0
49;-3;0;0;0
49;4;0;0;0
49;3;0;0;0
57;-4;0;0;0
57;-3;0;0;0
57;4;0;0;0
57;3;0;0;0
65;-4;0;0;0
65;-3;0;0;0
65;4;0;0;0
65;3;0;0;0
73;-4;0;0;0
73;-3;0;0;0
73;4;0;0;0
73;3;0;0;0
81;-4;0;0;0
81;-3;0;0;0
81;4;0;0;0
81;3;0;0;0
90;-4;0;0;0
90;-3;0;0;0
90;4;0;0;0
90;3;0;0;0
