1;0;5;0;1
8;-4;0;0;0
12;-3;0;0;0
34;0;-5;180;1
38;4;0;0;0
42;3;0;0;0
64;5;0;-90;1
64;-5;0;90;1
71;0;-4;90;0
71;0;4;90;0
75;0;-3;90;0
75;0;3;90;0
97;0;5;0;1
97;-1;5;0;1
97;1;5;0;1
101;4;0;0;0
101;-4;0;0;0
105;3;0;0;0
105;-3;0;0;0
127;-4;0;0;0
127;-3;0;0;0
131;-2;0;0;0
131;-1;0;0;0
135;0;0;0;0
135;1;0;0;0
139;2;0;0;0
139;3;0;0;0
159;-4;-5;180;1
159;-3;-5;180;1
159;-2;-5;180;1
159;-1;5;0;1
159;0;5;0;1
159;1;5;0;1
159;2;-5;180;1
159;3;-5;180;1
159;4;-5;180;1
191;4;0;0;0
191;3;0;0;0
195;2;0;0;0
195;1;0;0;0
199;0;0;0;0
199;-1;0;0;0
203;-2;0;0;0
203;-3;0;0;0
223;-4;5;0;1
223;-3;5;0;1
223;-2;5;0;1
223;-1;-5;180;1
223;0;-5;180;1
223;1;-5;180;1
223;2;5;0;1
223;3;5;0;1
223;4;5;0;1
247;-4;0;0;0
247;-3;0;0;0
251;-2;0;0;0
251;-1;0;0;0
255;0;0;0;0
255;1;0;0;0
263;4;0;0;0
264;3;0;0;0
265;2;0;0;0
267;1;0;0;0
268;0;0;0;0
269;-1;0;0;0
271;-4;0;0;0
279;4;0;0;0
279;3;0;0;0
283;2;0;0;0
283;1;0;0;0
287;0;0;0;0
287;-1;0;0;0
295;-4;0;0;0
296;-3;0;0;0
297;-2;0;0;0
299;-1;0;0;0
300;0;0;0;0
301;1;0;0;0
303;4;0;0;0
